origin_pos,source_node,neighbor_rank,target_node,weight
59359,11900388,1,CA-148,0.24789919
59359,11900388,2,CA-213,0.23443587
59359,11900388,3,CA-505,0.18924363
59359,11900388,4,CA-512,0.1686223
59359,11900388,5,CA-149,0.15979905
59359,CA-148,1,11900388,0.24789919
59359,CA-148,2,CA-213,0.23443587
59359,CA-148,3,CA-505,0.18924363
59359,CA-148,4,CA-512,0.1686223
59359,CA-148,5,CA-149,0.15979905
59359,CA-149,1,CA-505,0.21733259
59359,CA-149,2,CA-509,0.2093243
59359,CA-149,3,CA-512,0.2018322
59359,CA-149,4,CA-508,0.190915
59359,CA-149,5,CA-213,0.18059589
59359,CA-212,1,CA-511,0.21343176
59359,CA-212,2,CA-507,0.20978282
59359,CA-212,3,CA-509,0.20434815
59359,CA-212,4,CA-513,0.1879376
59359,CA-212,5,CA-510,0.1844996
59359,CA-213,1,CA-148,0.2301088
59359,CA-213,2,11900388,0.2301088
59359,CA-213,3,CA-505,0.19426744
59359,CA-213,4,CA-512,0.17953654
59359,CA-213,5,CA-508,0.16597843
59359,CA-303,1,CA-307,0.20984812
59359,CA-303,2,CA-304,0.20734799
59359,CA-303,3,CA-312,0.19486584
59359,CA-303,4,CA-325,0.19397666
59359,CA-303,5,CA-314,0.19396132
59359,CA-304,1,CA-314,0.21013606
59359,CA-304,2,CA-492,0.19899346
59359,CA-304,3,CA-491,0.19826254
59359,CA-304,4,CA-320,0.1965161
59359,CA-304,5,CA-323,0.19609186
59359,CA-305,1,CA-307,0.2114845
59359,CA-305,2,CA-313,0.2015639
59359,CA-305,3,CA-325,0.19772263
59359,CA-305,4,CA-489,0.19664155
59359,CA-305,5,CA-317,0.1925874
59359,CA-306,1,CA-499,0.2199197
59359,CA-306,2,CA-316,0.2138454
59359,CA-306,3,CA-494,0.19891758
59359,CA-306,4,CA-503,0.19421679
59359,CA-306,5,CA-495,0.17310053
59359,CA-307,1,CA-311,0.21360965
59359,CA-307,2,CA-314,0.20566913
59359,CA-307,3,CA-304,0.19497268
59359,CA-307,4,CA-489,0.19366169
59359,CA-307,5,CA-323,0.19208682
59359,CA-308,1,CA-310,0.21758612
59359,CA-308,2,CA-499,0.21643871
59359,CA-308,3,CA-494,0.19836132
59359,CA-308,4,CA-492,0.18524283
59359,CA-308,5,CA-490,0.18237105
59359,CA-309,1,CA-307,0.21020702
59359,CA-309,2,CA-304,0.19850296
59359,CA-309,3,CA-314,0.19825037
59359,CA-309,4,CA-323,0.1970904
59359,CA-309,5,CA-498,0.19594926
59359,CA-310,1,CA-513,0.20346127
59359,CA-310,2,CA-212,0.2020039
59359,CA-310,3,CA-502,0.20059256
59359,CA-310,4,CA-503,0.1996689
59359,CA-310,5,CA-499,0.19427343
59359,CA-311,1,CA-310,0.22142273
59359,CA-311,2,CA-499,0.19962457
59359,CA-311,3,CA-306,0.19672708
59359,CA-311,4,CA-491,0.19308488
59359,CA-311,5,CA-320,0.18914077
59359,CA-312,1,CA-316,0.20360889
59359,CA-312,2,CA-499,0.20300256
59359,CA-312,3,CA-490,0.199146
59359,CA-312,4,CA-491,0.1978223
59359,CA-312,5,CA-493,0.19642021
59359,CA-313,1,CA-308,0.21613792
59359,CA-313,2,CA-492,0.2027838
59359,CA-313,3,CA-310,0.19789961
59359,CA-313,4,CA-500,0.19214734
59359,CA-313,5,CA-490,0.19103135
59359,CA-314,1,CA-320,0.23837717
59359,CA-314,2,CA-497,0.19702008
59359,CA-314,3,CA-499,0.19642448
59359,CA-314,4,CA-500,0.18946175
59359,CA-314,5,CA-310,0.17871653
59359,CA-315,1,CA-324,0.21150805
59359,CA-315,2,CA-314,0.20084594
59359,CA-315,3,CA-325,0.19701533
59359,CA-315,4,CA-500,0.19650342
59359,CA-315,5,CA-319,0.19412722
59359,CA-316,1,CA-306,0.22016637
59359,CA-316,2,CA-495,0.21101435
59359,CA-316,3,CA-503,0.19115955
59359,CA-316,4,CA-504,0.18996151
59359,CA-316,5,CA-494,0.18769826
59359,CA-317,1,CA-324,0.24078137
59359,CA-317,2,CA-494,0.19787546
59359,CA-317,3,CA-497,0.19108254
59359,CA-317,4,CA-489,0.18641439
59359,CA-317,5,CA-490,0.1838462
59359,CA-318,1,CA-502,0.2259447
59359,CA-318,2,CA-504,0.20330344
59359,CA-318,3,CA-501,0.19945131
59359,CA-318,4,CA-212,0.1934489
59359,CA-318,5,CA-513,0.17785163
59359,CA-319,1,CA-499,0.2193443
59359,CA-319,2,CA-310,0.20335682
59359,CA-319,3,CA-308,0.19433248
59359,CA-319,4,CA-492,0.19238156
59359,CA-319,5,CA-326,0.19058493
59359,CA-320,1,CA-314,0.2291031
59359,CA-320,2,CA-310,0.20970671
59359,CA-320,3,CA-497,0.19399184
59359,CA-320,4,CA-499,0.1917747
59359,CA-320,5,CA-491,0.17542365
59359,CA-321,1,CA-326,0.20936932
59359,CA-321,2,CA-493,0.2032354
59359,CA-321,3,CA-490,0.20063625
59359,CA-321,4,CA-310,0.1957986
59359,CA-321,5,CA-495,0.1909604
59359,CA-322,1,CA-495,0.2088146
59359,CA-322,2,CA-310,0.202136
59359,CA-322,3,CA-494,0.20142925
59359,CA-322,4,CA-306,0.19598675
59359,CA-322,5,CA-316,0.19163334
59359,CA-323,1,CA-490,0.20894182
59359,CA-323,2,CA-326,0.20485158
59359,CA-323,3,CA-306,0.20442091
59359,CA-323,4,CA-316,0.19446604
59359,CA-323,5,CA-325,0.18731965
59359,CA-324,1,CA-494,0.20941597
59359,CA-324,2,CA-495,0.20490757
59359,CA-324,3,CA-318,0.20149584
59359,CA-324,4,CA-499,0.19528793
59359,CA-324,5,CA-490,0.18889265
59359,CA-325,1,CA-490,0.20715062
59359,CA-325,2,CA-500,0.20363496
59359,CA-325,3,CA-312,0.19885652
59359,CA-325,4,CA-324,0.1964655
59359,CA-325,5,CA-492,0.19389237
59359,CA-326,1,CA-490,0.20550612
59359,CA-326,2,CA-318,0.2030211
59359,CA-326,3,CA-493,0.1973558
59359,CA-326,4,CA-322,0.19727795
59359,CA-326,5,CA-492,0.196839
59359,CA-327,1,CA-490,0.22061737
59359,CA-327,2,CA-494,0.20272432
59359,CA-327,3,CA-324,0.19777246
59359,CA-327,4,CA-318,0.19237344
59359,CA-327,5,CA-326,0.18651238
59359,CA-489,1,CA-490,0.20871519
59359,CA-489,2,CA-318,0.20347783
59359,CA-489,3,CA-494,0.19922979
59359,CA-489,4,CA-491,0.19548754
59359,CA-489,5,CA-326,0.19308965
59359,CA-490,1,CA-495,0.2086399
59359,CA-490,2,CA-494,0.2079311
59359,CA-490,3,CA-497,0.19640864
59359,CA-490,4,CA-500,0.1936256
59359,CA-490,5,CA-318,0.19339472
59359,CA-491,1,CA-326,0.20552611
59359,CA-491,2,CA-490,0.20341942
59359,CA-491,3,CA-310,0.19789639
59359,CA-491,4,CA-493,0.19693062
59359,CA-491,5,CA-312,0.1962274
59359,CA-492,1,CA-495,0.2101952
59359,CA-492,2,CA-490,0.20137621
59359,CA-492,3,CA-500,0.1985579
59359,CA-492,4,CA-316,0.19835766
59359,CA-492,5,CA-326,0.19151306
59359,CA-493,1,CA-502,0.20568788
59359,CA-493,2,CA-495,0.20482874
59359,CA-493,3,CA-212,0.19940385
59359,CA-493,4,CA-318,0.19662322
59359,CA-493,5,CA-513,0.19345629
59359,CA-494,1,CA-495,0.22309308
59359,CA-494,2,CA-306,0.2064145
59359,CA-494,3,CA-318,0.19768138
59359,CA-494,4,CA-316,0.18918043
59359,CA-494,5,CA-324,0.18363063
59359,CA-495,1,CA-499,0.20611998
59359,CA-495,2,CA-494,0.20261256
59359,CA-495,3,CA-504,0.20114195
59359,CA-495,4,CA-493,0.19696945
59359,CA-495,5,CA-316,0.19315602
59359,CA-496,1,CA-320,0.21170145
59359,CA-496,2,CA-499,0.21041566
59359,CA-496,3,CA-310,0.20173344
59359,CA-496,4,CA-312,0.1908487
59359,CA-496,5,CA-491,0.18530077
59359,CA-497,1,CA-490,0.21392968
59359,CA-497,2,CA-324,0.2019118
59359,CA-497,3,CA-306,0.19883414
59359,CA-497,4,CA-310,0.19717285
59359,CA-497,5,CA-494,0.18815155
59359,CA-498,1,CA-312,0.21008797
59359,CA-498,2,CA-492,0.20760009
59359,CA-498,3,CA-320,0.19831316
59359,CA-498,4,CA-314,0.19569285
59359,CA-498,5,CA-497,0.1883059
59359,CA-499,1,CA-306,0.22308373
59359,CA-499,2,CA-495,0.22185874
59359,CA-499,3,CA-310,0.19129032
59359,CA-499,4,CA-316,0.18312895
59359,CA-499,5,CA-503,0.1806382
59359,CA-500,1,CA-495,0.21177262
59359,CA-500,2,CA-490,0.20742515
59359,CA-500,3,CA-324,0.20059475
59359,CA-500,4,CA-492,0.192971
59359,CA-500,5,CA-494,0.18723646
59359,CA-501,1,CA-504,0.2148786
59359,CA-501,2,CA-212,0.2108799
59359,CA-501,3,CA-513,0.19574186
59359,CA-501,4,CA-506,0.19229005
59359,CA-501,5,CA-510,0.1862096
59359,CA-502,1,CA-318,0.20971404
59359,CA-502,2,CA-504,0.2046278
59359,CA-502,3,CA-212,0.2025265
59359,CA-502,4,CA-513,0.2004237
59359,CA-502,5,CA-501,0.18270797
59359,CA-503,1,CA-506,0.21363844
59359,CA-503,2,CA-504,0.2069133
59359,CA-503,3,CA-212,0.1976084
59359,CA-503,4,CA-511,0.1920974
59359,CA-503,5,CA-513,0.18974239
59359,CA-504,1,CA-510,0.21523057
59359,CA-504,2,CA-501,0.20967783
59359,CA-504,3,CA-506,0.19954932
59359,CA-504,4,CA-513,0.18902145
59359,CA-504,5,CA-511,0.18652083
59359,CA-505,1,CA-512,0.21461649
59359,CA-505,2,CA-149,0.20058267
59359,CA-505,3,CA-213,0.19879739
59359,CA-505,4,CA-508,0.19592136
59359,CA-505,5,CA-148,0.19008204
59359,CA-506,1,CA-513,0.21505113
59359,CA-506,2,CA-507,0.20175812
59359,CA-506,3,CA-509,0.19855505
59359,CA-506,4,CA-510,0.19234426
59359,CA-506,5,CA-511,0.19229142
59359,CA-507,1,CA-509,0.22949553
59359,CA-507,2,CA-508,0.20193638
59359,CA-507,3,CA-149,0.19713701
59359,CA-507,4,CA-511,0.18805343
59359,CA-507,5,CA-505,0.18337765
59359,CA-508,1,CA-505,0.22220118
59359,CA-508,2,CA-512,0.20669617
59359,CA-508,3,CA-149,0.19983575
59359,CA-508,4,CA-213,0.19263132
59359,CA-508,5,CA-148,0.17863566
59359,CA-509,1,CA-149,0.23247445
59359,CA-509,2,CA-507,0.20341681
59359,CA-509,3,CA-505,0.19580518
59359,CA-509,4,CA-512,0.18432173
59359,CA-509,5,CA-508,0.18398182
59359,CA-510,1,CA-508,0.21485409
59359,CA-510,2,CA-505,0.20262645
59359,CA-510,3,CA-512,0.19999681
59359,CA-510,4,CA-509,0.19444335
59359,CA-510,5,CA-213,0.18807927
59359,CA-511,1,CA-507,0.20793173
59359,CA-511,2,CA-212,0.20290303
59359,CA-511,3,CA-149,0.20277725
59359,CA-511,4,CA-509,0.19554101
59359,CA-511,5,CA-508,0.190847
59359,CA-512,1,CA-505,0.22923335
59359,CA-512,2,CA-149,0.19896364
59359,CA-512,3,CA-213,0.19623579
59359,CA-512,4,CA-508,0.19466262
59359,CA-512,5,CA-148,0.18090458
59359,CA-513,1,CA-509,0.21937051
59359,CA-513,2,CA-506,0.2139275
59359,CA-513,3,CA-212,0.19357374
59359,CA-513,4,CA-149,0.18968818
59359,CA-513,5,CA-507,0.18344016
