calibration_mode,split,event_state,lower_quantile,upper_quantile,coverage_level,count,MAE_q0.5,RMSE_q0.5,PICP,coverage_error,abs_coverage_error,PINAW,MPIW,WIS
global,test,event,0.05,0.95,0.9,71400,0.7945942092716892,1.7535501645517677,0.098235294117647,-0.8017647058823529,0.8017647058823529,6.735526800673782e-06,0.0002034645466034,15.88857034981856
global,test,event,0.1,0.9,0.8,71400,0.7945942092716892,1.7535501645517677,0.0693277310924369,-0.7306722689075631,0.7306722689075631,3.0813782281347575e-06,9.30812455587656e-05,7.944811933420139
global,test,event,0.25,0.75,0.5,71400,0.7945942092716892,1.7535501645517677,0.0223389355742296,-0.4776610644257703,0.4776610644257703,-2.334669883289821e-06,-7.0524928981763e-05,3.1781459894725734
global,test,stable,0.05,0.95,0.9,11682540,0.0166597615106126,0.2682814147935433,0.8767557397620723,-0.0232442602379276,0.0232442602379276,5.707574742076854e-06,0.0001724125137451,0.3319301825792586
global,test,stable,0.1,0.9,0.8,11682540,0.0166597615106126,0.2682814147935433,0.7749239463335884,-0.0250760536664116,0.0250760536664116,3.6454530566569575e-06,0.0001101206298017,0.1660871305746813
global,test,stable,0.25,0.75,0.5,11682540,0.0166597615106126,0.2682814147935433,0.4378793481554525,-0.0621206518445475,0.0621206518445475,3.644927734013974e-07,1.1010476103061252e-05,0.0665248039187515
event_state_grouped,test,event,0.05,0.95,0.9,71400,0.7945942092716892,1.7535501645517677,0.8876890756302521,-0.0123109243697479,0.0123109243697479,0.1306545114082644,3.9467678938962583,6.835812787343161
event_state_grouped,test,event,0.1,0.9,0.8,71400,0.7945942092716892,1.7535501645517677,0.8170868347338935,0.0170868347338934,0.0170868347338934,0.0913134409035466,2.75836596038516,5.714759752676778
event_state_grouped,test,event,0.25,0.75,0.5,71400,0.7945942092716892,1.7535501645517677,0.5592857142857143,0.0592857142857142,0.0592857142857142,0.0002206252452932,0.0066645738085945,3.1759024947686565
event_state_grouped,test,stable,0.05,0.95,0.9,11682540,0.0166597615106126,0.2682814147935433,0.8754591895255655,-0.0245408104744345,0.0245408104744345,5.671142469025752e-06,0.0001713119797947,0.3319316670571908
event_state_grouped,test,stable,0.1,0.9,0.8,11682540,0.0166597615106126,0.2682814147935433,0.7738371107652959,-0.0261628892347041,0.0261628892347041,3.624728072717319e-06,0.0001094945764008,0.166087807127172
event_state_grouped,test,stable,0.25,0.75,0.5,11682540,0.0166597615106126,0.2682814147935433,0.4371130764371446,-0.0628869235628553,0.0628869235628553,3.605426287403593e-07,1.089115145092035e-05,0.0665248941490973
adaptive_grouped,test,event,0.05,0.95,0.9,71400,0.7945942092716892,1.7535501645517677,0.8878571428571429,-0.0121428571428571,0.0121428571428571,0.1300321678264344,3.9279683465919657,6.805428367928192
adaptive_grouped,test,event,0.1,0.9,0.8,71400,0.7945942092716892,1.7535501645517677,0.8167226890756303,0.0167226890756302,0.0167226890756302,0.0909448159971747,2.747230662187817,5.679786780880039
adaptive_grouped,test,event,0.25,0.75,0.5,71400,0.7945942092716892,1.7535501645517677,0.5587254901960784,0.0587254901960784,0.0587254901960784,0.0002300714440705,0.0069499214299815,3.1758370574169823
adaptive_grouped,test,stable,0.05,0.95,0.9,11682540,0.0166597615106126,0.2682814147935433,0.8761125577143327,-0.0238874422856673,0.0238874422856673,5.737729590365785e-06,0.0001733234213425,0.3319270649397277
adaptive_grouped,test,stable,0.1,0.9,0.8,11682540,0.0166597615106126,0.2682814147935433,0.7742881256986922,-0.0257118743013078,0.0257118743013078,3.593298784480326e-06,0.0001085451709466,0.1660886933425591
adaptive_grouped,test,stable,0.25,0.75,0.5,11682540,0.0166597615106126,0.2682814147935433,0.437207833228048,-0.0627921667719519,0.0627921667719519,3.849089701125193e-07,1.1627201762408288e-05,0.06652428820207
adaptive_event_state_grouped_conservative,test,event,0.05,0.95,0.9,71400,0.7945942092716892,1.7535501645517677,0.9096498599439776,0.0096498599439776,0.0096498599439776,0.140261711575651,4.236978991562787,6.559569192139187
adaptive_event_state_grouped_conservative,test,event,0.1,0.9,0.8,71400,0.7945942092716892,1.7535501645517677,0.8332773109243697,0.0332773109243696,0.0332773109243696,0.1017112490572637,3.072459480353639,5.533320569858132
adaptive_event_state_grouped_conservative,test,event,0.25,0.75,0.5,71400,0.7945942092716892,1.7535501645517677,0.5850980392156863,0.0850980392156862,0.0850980392156862,0.0002885175639562,0.0087154423216936,3.175802543096307
adaptive_event_state_grouped_conservative,test,stable,0.05,0.95,0.9,11682540,0.0166597615106126,0.2682814147935433,0.8980973315734421,-0.0019026684265579,0.0019026684265579,6.532595251663225e-06,0.0001973344580694,0.3318988114024512
adaptive_event_state_grouped_conservative,test,stable,0.1,0.9,0.8,11682540,0.0166597615106126,0.2682814147935433,0.8021765814625929,0.0021765814625928,0.0021765814625928,4.049655715517592e-06,0.0001223306488774,0.1660753297524217
adaptive_event_state_grouped_conservative,test,stable,0.25,0.75,0.5,11682540,0.0166597615106126,0.2682814147935433,0.4656877699541367,-0.0343122300458633,0.0343122300458633,5.392610511378694e-07,1.6289817933719398e-05,0.0665209261095161
